,City,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,Country,Happiness_Score,Unesco,QoL_H
0,Caracas,5.697905697905698,31.42552908292294,90.29430859121402,3.7830446672743845,100.0,10.480593699999998,-66.90360629999999,Venezuela,28.474655454333092,9.090909090909092,16.12885006080374
1,Barcelona,45.98104598104597,50.099826966591245,77.63471110149318,47.73245214220602,40.90058792089791,36.088105600000006,-95.9241306,Venezuela,28.474655454333092,0.0,38.10355379826956
2,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,67.91248860528715,20.283270978086584,28.521792200000004,-81.46357669999998,Venezuela,28.474655454333092,0.0,48.19357202981012
3,Johannesburg,55.70375570375571,52.10967656062825,51.27677991776671,52.38149498632635,97.6349545697488,-26.2041028,28.047305100000003,South Africa,28.825040878299447,0.0,40.6032679323129
4,Cape Town,63.15666315666315,67.66937308664981,82.21164250162303,83.68277119416592,76.42971672902192,-33.9248685,18.424055300000003,South Africa,28.825040878299447,18.181818181818183,56.253906036232685
5,Pretoria,47.22124722124722,66.92399840276853,75.8818437567626,63.9813126709207,76.42971672902192,-25.7478676,28.2292712,South Africa,28.825040878299447,0.0,46.403176774610074
6,Fortaleza,53.703053703053705,32.78317582856383,71.75935944600735,35.76800364630812,90.57990379476216,-3.7327144,-38.5269981,Brazil,65.68558747956084,0.0,50.72679556293448
7,Porto Alegre,14.847314847314848,40.17037135631572,93.22657433455961,30.287146763901557,87.65366114377338,-30.0346471,-51.2176584,Brazil,65.68558747956084,0.0,47.9863671217312
8,Belo Horizonte,18.006318006318008,48.48928523891921,64.62886821034408,35.2894257064722,53.62105825761625,-19.9166813,-43.934493100000005,Brazil,65.68558747956084,27.27272727272727,50.48750659301652
9,Colombo,16.146016146016148,72.10169040330095,36.34494698117291,24.373290793072016,52.29823623730625,6.927078599999999,79.861243,Brazil,65.68558747956084,18.181818181818183,45.02943913631643
10,Curitiba,33.45033345033345,50.84520165047252,36.34494698117291,60.8249772105743,47.31427044361304,-25.428954100000002,-49.267137,Brazil,65.68558747956084,0.0,63.25528234506757
11,Saint Louis,86.60348660348662,75.14974044988688,33.8995888335858,93.68732907930722,89.88508818813467,38.6270025,-90.1994042,Senegal,27.867320719458068,9.090909090909092,60.77732489938264
12,Mexico City,20.943020943020947,54.47890323439372,20.504219865829906,25.77484047402006,89.52431854623197,19.4326077,-99.133208,Mexico,72.57650081756597,63.63636363636363,49.17567064579302
13,Detroit,78.89317889317891,56.195927059763086,90.29430859121402,52.073837739288976,87.96098343132014,42.331427000000005,-83.0457538,United States,79.51413221209998,0.0,65.79398497569449
14,Las Vegas,86.67368667368666,60.81458804738453,64.62886821034408,62.91020966271651,79.78353821485835,36.169941200000004,-115.13982959999998,United States,79.51413221209998,0.0,71.21217093740825
15,Los Angeles,65.95296595296595,63.596432849727144,81.36766933564164,65.55378304466728,73.32977017637626,34.0522342,-118.24368490000002,United States,79.51413221209998,0.0,72.53395762838363
16,Houston,76.72867672867673,78.01144682550246,70.55832070980307,78.38422971741113,67.95831106360235,29.7604267,-95.36980279999999,United States,79.51413221209998,0.0,78.94918096475556
17,Dallas,81.66608166608168,65.43324903500599,90.77039601817788,85.76800364630812,65.5264564404062,32.7766642,-96.7969879,United States,79.51413221209998,0.0,82.64106792920404
18,Baltimore,84.70808470808471,68.21509383734859,84.37567626054967,87.40884229717412,64.12346338856226,39.2903848,-76.6121893,United States,79.51413221209998,0.0,83.46148725463705
19,Athens,23.013923013923016,33.64834287235459,29.690543172473493,28.80583409298086,62.30625334045965,37.9838096,23.7275388,United States,79.51413221209998,36.36363636363637,54.15998315254042
20,Atlanta,87.10658710658711,53.61373619060296,68.26444492534084,85.71103008204194,60.36878674505611,33.7489954,-84.3879824,United States,79.51413221209998,0.0,82.61258114707096
21,Orlando,75.68737568737569,73.44602688672968,76.55269422202986,87.7848678213309,59.0726884019241,28.5383355,-81.3792365,United States,79.51413221209998,0.0,83.64950001671545
