,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
0,Caracas,5.697905697905698,31.42552908292294,90.29430859121402,16.12885006080374,100.0,9.090909090909092,10.480593699999998,-66.90360629999999,Venezuela
1,Barcelona,45.98104598104597,50.099826966591245,77.63471110149318,38.10355379826956,40.90058792089791,0.0,36.088105600000006,-95.9241306,Venezuela
2,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,48.19357202981012,20.283270978086584,0.0,28.521792200000004,-81.46357669999998,Venezuela
3,Johannesburg,55.70375570375571,52.10967656062825,51.27677991776671,40.6032679323129,97.6349545697488,0.0,-26.2041028,28.047305100000003,South Africa
4,Cape Town,63.15666315666315,67.66937308664981,82.21164250162303,56.253906036232685,76.42971672902192,18.181818181818183,-33.9248685,18.424055300000003,South Africa
5,Pretoria,47.22124722124722,66.92399840276853,75.8818437567626,46.403176774610074,76.42971672902192,0.0,-25.7478676,28.2292712,South Africa
6,Fortaleza,53.703053703053705,32.78317582856383,71.75935944600735,50.72679556293448,90.57990379476216,0.0,-3.7327144,-38.5269981,Brazil
7,Porto Alegre,14.847314847314848,40.17037135631572,93.22657433455961,47.9863671217312,87.65366114377338,0.0,-30.0346471,-51.2176584,Brazil
8,Belo Horizonte,18.006318006318008,48.48928523891921,64.62886821034408,50.48750659301652,53.62105825761625,27.27272727272727,-19.9166813,-43.934493100000005,Brazil
9,Colombo,16.146016146016148,72.10169040330095,36.34494698117291,45.02943913631643,52.29823623730625,18.181818181818183,6.927078599999999,79.861243,Brazil
10,Curitiba,33.45033345033345,50.84520165047252,36.34494698117291,63.25528234506757,47.31427044361304,0.0,-25.428954100000002,-49.267137,Brazil
11,Saint Louis,86.60348660348662,75.14974044988688,33.8995888335858,60.77732489938264,89.88508818813467,9.090909090909092,38.6270025,-90.1994042,Senegal
12,Mexico City,20.943020943020947,54.47890323439372,20.504219865829906,49.17567064579302,89.52431854623197,63.63636363636363,19.4326077,-99.133208,Mexico
13,Detroit,78.89317889317891,56.195927059763086,90.29430859121402,65.79398497569449,87.96098343132014,0.0,42.331427000000005,-83.0457538,United States
14,Las Vegas,86.67368667368666,60.81458804738453,64.62886821034408,71.21217093740825,79.78353821485835,0.0,36.169941200000004,-115.13982959999998,United States
15,Los Angeles,65.95296595296595,63.596432849727144,81.36766933564164,72.53395762838363,73.32977017637626,0.0,34.0522342,-118.24368490000002,United States
16,Houston,76.72867672867673,78.01144682550246,70.55832070980307,78.94918096475556,67.95831106360235,0.0,29.7604267,-95.36980279999999,United States
