City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng
Caracas,65.18,11.25,44.44,83.45,8.61,85.7,10.4805937,-66.90360629999999
Johannesburg,84.08,53.99,59.98,47.39,51.26,83.93,-26.2041028,28.0473051
Fortaleza,80.17,52.28,45.46,66.32,36.68,78.65,-3.7327144,-38.5269981
Saint Louis,85.25,80.4,77.29,31.33,87.51,78.13,38.6270025,-90.19940419999999
Mexico City,75.07,24.28,61.76,18.95,27.91,77.86,19.4326077,-99.133208
Detroit,70.63,73.81,63.05,83.45,50.99,76.69,42.331427,-83.0457538
Porto Alegre,70.46,19.07,51.01,86.16,31.87,76.46,-30.0346471,-51.2176584
Noida,82.34,57.88,56.34,89.1,42.7,75.0,28.5355161,77.3910265
Karachi,67.81,14.63,51.57,69.63,18.5,74.36,24.8607343,67.0011364
Rotterdam,80.68,50.9,63.26,20.36,67.77,74.27,51.9244201,4.4777326
Nairobi,71.12,15.82,61.34,39.16,14.36,71.88,-1.2920659,36.8219462
Las Vegas,84.88,80.46,66.52,59.73,60.5,70.57,36.1699412,-115.1398296
Kuala Lumpur,77.88,37.09,56.21,69.65,42.4,68.91,3.139003,101.686855
Philadelphia,83.31,68.77,54.17,38.64,65.53,68.58,39.9525839,-75.1652215
Cape Town,87.95,60.36,71.67,75.98,78.73,68.06,-33.9248685,18.4240553
Pretoria,80.56,46.74,71.11,70.13,61.44,68.06,-25.7478676,28.2292712
Rio De Janeiro,73.44,22.13,61.67,84.51,21.32,67.93,-22.9068467,-43.1728965
Manila,68.31,14.8,80.56,65.22,13.14,66.36,14.5995124,120.9842195
Sao Paulo,75.4,24.24,63.79,72.04,30.57,66.31,-23.5505199,-46.63330939999999
Los Angeles,86.86,62.75,68.61,75.2,62.82,65.74,34.0522342,-118.2436849
Gurgaon,77.88,37.08,77.18,27.78,42.77,65.51,28.4594965,77.0266383
Lima,73.19,23.22,53.7,58.49,22.67,65.31,-12.0463731,-77.042754
Miami,84.43,57.79,64.44,22.45,74.77,64.85,25.7616798,-80.1917902
Lodz,73.32,26.37,53.21,37.21,46.29,64.51,51.7592485,19.4559833
Rome,79.07,32.72,61.64,19.84,26.8,62.34,41.9027835,12.4963655
Santo Domingo,74.6,28.82,62.5,18.59,41.88,62.19,18.4860575,-69.93121169999999
Houston,85.24,71.96,79.44,65.21,74.08,61.72,29.7604267,-95.3698028
Tampa,84.27,75.72,56.94,49.89,80.75,60.73,27.950575,-82.4571776
Lagos,72.47,14.91,62.04,26.63,19.48,60.44,6.5243793,3.3792057
Glasgow,84.23,85.0,90.55,0.0,80.0,60.0,55.864237,-4.251806
Dallas,84.71,76.18,69.99,83.89,80.56,59.9,32.7766642,-96.79698789999999
Buenos Aires,77.29,29.29,79.17,47.26,39.78,59.46,-34.6036844,-58.3815591
Dhaka,71.58,21.32,20.83,62.14,13.48,59.06,23.810332,90.4125181
Baltimore,84.28,78.78,72.08,77.98,82.0,58.85,39.2903848,-76.6121893
Athens,76.78,26.05,46.11,27.44,30.57,57.49,37.9838096,23.7275388
Saint Petersburg,73.1,24.82,46.34,77.98,25.97,56.96,59.9310584,30.3609096
Naples,76.27,35.38,41.67,12.01,42.92,56.67,40.87613410000001,14.5198315
Milan,81.9,43.43,71.36,22.09,40.8,56.2,45.4642035,9.189982
Atlanta,84.92,80.83,61.11,63.09,80.51,56.04,33.7489954,-84.3879824
Orlando,84.39,71.07,76.01,70.75,82.33,55.07,28.5383355,-81.3792365
Chicago,83.01,66.77,62.92,22.98,80.71,54.52,41.8781136,-87.6297982
Geneva,83.27,61.22,74.88,29.43,82.76,54.36,46.2043907,6.1431577
Kiev,69.98,18.88,36.48,67.36,24.05,54.19,50.4501,30.5234
