,Weights,City
0,"(0, 0, 0, 0, 0, 0)",Ulaanbaatar
1,"(0, 0, 0, 0, 0, 1)",Brussels
2,"(0, 0, 0, 0, 0, 2)",Brussels
3,"(0, 0, 0, 0, 0, 3)",Jerusalem
4,"(0, 0, 0, 0, 1, 0)",Bergen
5,"(0, 0, 0, 0, 1, 1)",Vienna
6,"(0, 0, 0, 0, 1, 2)",Utrecht
7,"(0, 0, 0, 0, 1, 3)",Jerusalem
8,"(0, 0, 0, 0, 2, 0)",Abu Dhabi
9,"(0, 0, 0, 0, 2, 1)",Tokyo
10,"(0, 0, 0, 0, 2, 2)",Oxford
11,"(0, 0, 0, 0, 2, 3)",Oxford
12,"(0, 0, 0, 0, 3, 0)",Munich
13,"(0, 0, 0, 0, 3, 1)",Tokyo
14,"(0, 0, 0, 0, 3, 2)",Venice
15,"(0, 0, 0, 0, 3, 3)",Oxford
16,"(0, 0, 0, 1, 0, 0)",Edmonton
17,"(0, 0, 0, 1, 0, 1)",Brussels
18,"(0, 0, 0, 1, 0, 2)",Utrecht
19,"(0, 0, 0, 1, 0, 3)",Brussels
20,"(0, 0, 0, 1, 1, 0)",Aachen
21,"(0, 0, 0, 1, 1, 1)",Amsterdam
22,"(0, 0, 0, 1, 1, 2)",Utrecht
23,"(0, 0, 0, 1, 1, 3)",Amsterdam
24,"(0, 0, 0, 1, 2, 0)",Munich
25,"(0, 0, 0, 1, 2, 1)",Dresden
26,"(0, 0, 0, 1, 2, 2)",Manchester
27,"(0, 0, 0, 1, 2, 3)",Amsterdam
28,"(0, 0, 0, 1, 3, 0)",Abu Dhabi
29,"(0, 0, 0, 1, 3, 1)",Abu Dhabi
30,"(0, 0, 0, 1, 3, 2)",Aachen
31,"(0, 0, 0, 1, 3, 3)",Amsterdam
32,"(0, 0, 0, 2, 0, 0)",Trondheim
33,"(0, 0, 0, 2, 0, 1)",Utrecht
34,"(0, 0, 0, 2, 0, 2)",Rotterdam
35,"(0, 0, 0, 2, 0, 3)",Brussels
36,"(0, 0, 0, 2, 1, 0)",Bergen
37,"(0, 0, 0, 2, 1, 1)",Aachen
38,"(0, 0, 0, 2, 1, 2)",Amsterdam
39,"(0, 0, 0, 2, 1, 3)",Amsterdam
40,"(0, 0, 0, 2, 2, 0)",Abu Dhabi
41,"(0, 0, 0, 2, 2, 1)",Munich
42,"(0, 0, 0, 2, 2, 2)",Aachen
43,"(0, 0, 0, 2, 2, 3)",Oxford
44,"(0, 0, 0, 2, 3, 0)",Abu Dhabi
45,"(0, 0, 0, 2, 3, 1)",Dresden
46,"(0, 0, 0, 2, 3, 2)",Aachen
47,"(0, 0, 0, 2, 3, 3)",Amsterdam
48,"(0, 0, 0, 3, 0, 0)",Basel
49,"(0, 0, 0, 3, 0, 1)",The Hague
50,"(0, 0, 0, 3, 0, 2)",Amsterdam
51,"(0, 0, 0, 3, 0, 3)",Utrecht
52,"(0, 0, 0, 3, 1, 0)",Ottawa
53,"(0, 0, 0, 3, 1, 1)",Munich
54,"(0, 0, 0, 3, 1, 2)",The Hague
