,Weights,City
0,"(0, 0, 0, 0, 0, 0)",Newark
1,"(0, 0, 0, 0, 0, 1)",Brussels
2,"(0, 0, 0, 0, 0, 2)",Jerusalem
3,"(0, 0, 0, 0, 0, 3)",Brussels
4,"(0, 0, 0, 0, 1, 0)",Aachen
5,"(0, 0, 0, 0, 1, 1)",Manchester
6,"(0, 0, 0, 0, 1, 2)",Brussels
7,"(0, 0, 0, 0, 1, 3)",Florence
8,"(0, 0, 0, 0, 2, 0)",Tokyo
9,"(0, 0, 0, 0, 2, 1)",Braga
10,"(0, 0, 0, 0, 2, 2)",Manchester
11,"(0, 0, 0, 0, 2, 3)",Manchester
12,"(0, 0, 0, 0, 3, 0)",Munich
13,"(0, 0, 0, 0, 3, 1)",Tokyo
14,"(0, 0, 0, 0, 3, 2)",Venice
15,"(0, 0, 0, 0, 3, 3)",Venice
16,"(0, 0, 0, 1, 0, 0)",Adelaide
17,"(0, 0, 0, 1, 0, 1)",Brussels
18,"(0, 0, 0, 1, 0, 2)",Brussels
19,"(0, 0, 0, 1, 0, 3)",Brussels
20,"(0, 0, 0, 1, 1, 0)",Dresden
21,"(0, 0, 0, 1, 1, 1)",Utrecht
22,"(0, 0, 0, 1, 1, 2)",The Hague
23,"(0, 0, 0, 1, 1, 3)",Amsterdam
24,"(0, 0, 0, 1, 2, 0)",Dresden
25,"(0, 0, 0, 1, 2, 1)",Munich
26,"(0, 0, 0, 1, 2, 2)",Utrecht
27,"(0, 0, 0, 1, 2, 3)",Amsterdam
28,"(0, 0, 0, 1, 3, 0)",Abu Dhabi
29,"(0, 0, 0, 1, 3, 1)",Dresden
30,"(0, 0, 0, 1, 3, 2)",Aachen
31,"(0, 0, 0, 1, 3, 3)",Oxford
32,"(0, 0, 0, 2, 0, 0)",Bergen
33,"(0, 0, 0, 2, 0, 1)",The Hague
34,"(0, 0, 0, 2, 0, 2)",Brussels
35,"(0, 0, 0, 2, 0, 3)",Jerusalem
36,"(0, 0, 0, 2, 1, 0)",Dresden
37,"(0, 0, 0, 2, 1, 1)",Bergen
38,"(0, 0, 0, 2, 1, 2)",Utrecht
39,"(0, 0, 0, 2, 1, 3)",Amsterdam
40,"(0, 0, 0, 2, 2, 0)",Bergen
41,"(0, 0, 0, 2, 2, 1)",Bergen
42,"(0, 0, 0, 2, 2, 2)",Aachen
43,"(0, 0, 0, 2, 2, 3)",Utrecht
44,"(0, 0, 0, 2, 3, 0)",Abu Dhabi
45,"(0, 0, 0, 2, 3, 1)",Dresden
46,"(0, 0, 0, 2, 3, 2)",Manchester
47,"(0, 0, 0, 2, 3, 3)",Amsterdam
48,"(0, 0, 0, 3, 0, 0)",Basel
49,"(0, 0, 0, 3, 0, 1)",Berlin
50,"(0, 0, 0, 3, 0, 2)",Utrecht
51,"(0, 0, 0, 3, 0, 3)",Brussels
52,"(0, 0, 0, 3, 1, 0)",Bergen
53,"(0, 0, 0, 3, 1, 1)",Basel
54,"(0, 0, 0, 3, 1, 2)",The Hague
55,"(0, 0, 0, 3, 1, 3)",Utrecht
56,"(0, 0, 0, 3, 2, 0)",Aachen
57,"(0, 0, 0, 3, 2, 1)",Aachen
58,"(0, 0, 0, 3, 2, 2)",Aachen
59,"(0, 0, 0, 3, 2, 3)",Amsterdam
60,"(0, 0, 0, 3, 3, 0)",Munich
61,"(0, 0, 0, 3, 3, 1)",Dresden
62,"(0, 0, 0, 3, 3, 2)",Berlin
63,"(0, 0, 0, 3, 3, 3)",Amsterdam
64,"(0, 0, 1, 0, 0, 0)",Nashville
65,"(0, 0, 1, 0, 0, 1)",Brussels
66,"(0, 0, 1, 0, 0, 2)",Brussels
67,"(0, 0, 1, 0, 0, 3)",Brussels
68,"(0, 0, 1, 0, 1, 0)",Aachen
69,"(0, 0, 1, 0, 1, 1)",Manchester
70,"(0, 0, 1, 0, 1, 2)",Venice
71,"(0, 0, 1, 0, 1, 3)",Manchester
72,"(0, 0, 1, 0, 2, 0)",Aachen
73,"(0, 0, 1, 0, 2, 1)",Manchester
74,"(0, 0, 1, 0, 2, 2)",Manchester
75,"(0, 0, 1, 0, 2, 3)",Manchester
76,"(0, 0, 1, 0, 3, 0)",Hong Kong
77,"(0, 0, 1, 0, 3, 1)",Dresden
78,"(0, 0, 1, 0, 3, 2)",Venice
